PL_id,home_team,away_team
7644,Norwich City,Tottenham Hotspur
7645,Swansea City,Queens Park Rangers
7646,Liverpool,Newcastle United
7647,Arsenal,Queens Park Rangers
7648,Bolton Wanderers,Wolverhampton Wanderers
7649,Chelsea,Aston Villa
7650,Manchester United,Blackburn Rovers
7651,Norwich City,Fulham
7652,Stoke City,Wigan Athletic
7653,Swansea City,Tottenham Hotspur
7654,Sunderland,Manchester City
7655,West Bromwich Albion,Everton
7656,Aston Villa,Swansea City
7657,Blackburn Rovers,Stoke City
7658,Fulham,Arsenal
7659,Queens Park Rangers,Norwich City
7660,Wolverhampton Wanderers,Chelsea
7661,Manchester City,Liverpool
7662,Tottenham Hotspur,West Bromwich Albion
7663,Wigan Athletic,Sunderland
7664,Everton,Bolton Wanderers
7666,Tottenham Hotspur,Everton
7665,Newcastle United,Manchester United
7667,Aston Villa,Everton
7668,Blackburn Rovers,Fulham
7669,Chelsea,Sunderland
7670,Liverpool,Stoke City
7671,Manchester United,Bolton Wanderers
7672,Tottenham Hotspur,Wolverhampton Wanderers
7673,West Bromwich Albion,Norwich City
7674,Newcastle United,Queens Park Rangers
7675,Swansea City,Arsenal
7676,Wigan Athletic,Manchester City
7677,Bolton Wanderers,Liverpool
7678,Everton,Blackburn Rovers
7679,Fulham,Newcastle United
7680,Norwich City,Chelsea
7681,Queens Park Rangers,Wigan Athletic
7682,Stoke City,West Bromwich Albion
7683,Sunderland,Swansea City
7684,Wolverhampton Wanderers,Aston Villa
7685,Arsenal,Manchester United
7686,Manchester City,Tottenham Hotspur
7687,Everton,Manchester City
7688,Manchester United,Stoke City
7689,Swansea City,Chelsea
7690,Tottenham Hotspur,Wigan Athletic
7691,Wolverhampton Wanderers,Liverpool
7692,Aston Villa,Queens Park Rangers
7693,Blackburn Rovers,Newcastle United
7694,Bolton Wanderers,Arsenal
7695,Fulham,West Bromwich Albion
7696,Sunderland,Norwich City
7697,Arsenal,Blackburn Rovers
7698,Manchester City,Fulham
7699,Norwich City,Bolton Wanderers
7700,Queens Park Rangers,Wolverhampton Wanderers
7701,Stoke City,Sunderland
7702,West Bromwich Albion,Swansea City
7703,Wigan Athletic,Everton
7704,Chelsea,Manchester United
7705,Newcastle United,Aston Villa
7706,Liverpool,Tottenham Hotspur
7707,Blackburn Rovers,Queens Park Rangers
7708,Bolton Wanderers,Wigan Athletic
7709,Everton,Chelsea
7710,Fulham,Stoke City
7711,Manchester United,Liverpool
7712,Sunderland,Arsenal
7714,Tottenham Hotspur,Newcastle United
7715,Aston Villa,Manchester City
7716,Wolverhampton Wanderers,West Bromwich Albion
7713,Swansea City,Norwich City
7717,Chelsea,Bolton Wanderers
7718,Manchester City,Blackburn Rovers
7719,Newcastle United,Wolverhampton Wanderers
7720,Queens Park Rangers,Fulham
7721,West Bromwich Albion,Sunderland
7722,Wigan Athletic,Aston Villa
7723,Arsenal,Tottenham Hotspur
7724,Norwich City,Manchester United
7725,Stoke City,Swansea City
7726,Blackburn Rovers,Aston Villa
7727,Liverpool,Arsenal
7728,Manchester City,Bolton Wanderers
7729,Queens Park Rangers,Everton
7730,Stoke City,Norwich City
7731,West Bromwich Albion,Chelsea
7732,Wigan Athletic,Swansea City
7733,Fulham,Wolverhampton Wanderers
7734,Newcastle United,Sunderland
7735,Tottenham Hotspur,Manchester United
7736,Aston Villa,Fulham
7737,Bolton Wanderers,Queens Park Rangers
7738,Chelsea,Stoke City
7739,Everton,Tottenham Hotspur
7740,Sunderland,Liverpool
7741,Wolverhampton Wanderers,Blackburn Rovers
7742,Manchester United,West Bromwich Albion
7743,Norwich City,Wigan Athletic
7744,Swansea City,Manchester City
7745,Arsenal,Newcastle United
7746,Liverpool,Everton
7747,Fulham,Swansea City
7748,Wigan Athletic,West Bromwich Albion
7749,Newcastle United,Norwich City
7750,Wolverhampton Wanderers,Manchester United
7751,Blackburn Rovers,Sunderland
7752,Everton,Arsenal
7753,Manchester City,Chelsea
7754,Queens Park Rangers,Liverpool
7755,Tottenham Hotspur,Stoke City
7756,Arsenal,Aston Villa
7758,Chelsea,Tottenham Hotspur
7759,Liverpool,Wigan Athletic
7760,Norwich City,Wolverhampton Wanderers
7761,Stoke City,Manchester City
7762,Sunderland,Queens Park Rangers
7763,Swansea City,Everton
7764,West Bromwich Albion,Newcastle United
7765,Manchester United,Fulham
7757,Bolton Wanderers,Blackburn Rovers
7766,Aston Villa,Chelsea
7767,Everton,West Bromwich Albion
7768,Fulham,Norwich City
7769,Manchester City,Sunderland
7770,Queens Park Rangers,Arsenal
7771,Wigan Athletic,Stoke City
7772,Wolverhampton Wanderers,Bolton Wanderers
7773,Newcastle United,Liverpool
7774,Tottenham Hotspur,Swansea City
7775,Blackburn Rovers,Manchester United
7776,Swansea City,Newcastle United
7777,Bolton Wanderers,Fulham
7778,Chelsea,Wigan Athletic
7779,Liverpool,Aston Villa
7780,Norwich City,Everton
7781,Stoke City,Wolverhampton Wanderers
7782,Sunderland,Tottenham Hotspur
7783,West Bromwich Albion,Blackburn Rovers
7784,Arsenal,Manchester City
7785,Manchester United,Queens Park Rangers
7786,Aston Villa,Stoke City
7787,Everton,Sunderland
7788,Fulham,Chelsea
7789,Newcastle United,Bolton Wanderers
7790,Tottenham Hotspur,Norwich City
7791,Blackburn Rovers,Liverpool
7792,Manchester City,West Bromwich Albion
7793,Queens Park Rangers,Swansea City
7794,Wigan Athletic,Manchester United
7795,Wolverhampton Wanderers,Arsenal
7796,Norwich City,Manchester City
7797,Sunderland,Wolverhampton Wanderers
7798,Swansea City,Blackburn Rovers
7799,West Bromwich Albion,Queens Park Rangers
7800,Manchester United,Aston Villa
7801,Arsenal,Wigan Athletic
7802,Arsenal,Chelsea
7803,Aston Villa,Sunderland
7804,Blackburn Rovers,Norwich City
7805,Bolton Wanderers,Swansea City
7806,Fulham,Wigan Athletic
7807,Newcastle United,Stoke City
7808,Queens Park Rangers,Tottenham Hotspur
7809,Liverpool,West Bromwich Albion
7810,Manchester United,Everton
7811,Wolverhampton Wanderers,Manchester City
7812,Aston Villa,Bolton Wanderers
7813,Everton,Fulham
7814,Norwich City,Liverpool
7815,Stoke City,Arsenal
7816,Sunderland,Bolton Wanderers
7818,West Bromwich Albion,Aston Villa
7819,Wigan Athletic,Newcastle United
7820,Chelsea,Queens Park Rangers
7821,Tottenham Hotspur,Blackburn Rovers
7822,Manchester City,Manchester United
7823,Liverpool,Fulham
7824,Stoke City,Everton
7825,Bolton Wanderers,Tottenham Hotspur
7826,Chelsea,Newcastle United
7817,Swansea City,Wolverhampton Wanderers
7827,Arsenal,Norwich City
7828,Aston Villa,Tottenham Hotspur
7829,Bolton Wanderers,West Bromwich Albion
7830,Fulham,Sunderland
7831,Manchester United,Swansea City
7832,Newcastle United,Manchester City
7833,Queens Park Rangers,Stoke City
7834,Wolverhampton Wanderers,Everton
7835,Blackburn Rovers,Wigan Athletic
7836,Liverpool,Chelsea
7837,Chelsea,Blackburn Rovers
7838,Everton,Newcastle United
7839,Manchester City,Queens Park Rangers
7840,Norwich City,Aston Villa
7841,Stoke City,Bolton Wanderers
7842,Sunderland,Manchester United
7843,Swansea City,Liverpool
7844,Tottenham Hotspur,Fulham
7845,West Bromwich Albion,Arsenal
7846,Wigan Athletic,Wolverhampton Wanderers
7864,Arsenal,Sunderland
7865,Fulham,Norwich City
7866,Newcastle United,Tottenham Hotspur
7867,Queens Park Rangers,Swansea City
7868,Reading,Stoke City
7869,West Bromwich Albion,Liverpool
7870,West Ham United,Aston Villa
7871,Manchester City,Southampton
7872,Wigan Athletic,Chelsea
7873,Everton,Manchester United
7874,Chelsea,Reading
7875,Aston Villa,Everton
7876,Chelsea,Newcastle United
7877,Manchester United,Fulham
7878,Norwich City,Queens Park Rangers
7879,Southampton,Wigan Athletic
7880,Swansea City,West Ham United
7881,Tottenham Hotspur,West Bromwich Albion
7882,Liverpool,Manchester City
7883,Stoke City,Arsenal
7884,Manchester City,Queens Park Rangers
7885,Swansea City,Sunderland
7886,Tottenham Hotspur,Norwich City
7887,West Bromwich Albion,Everton
7888,West Ham United,Fulham
7889,Wigan Athletic,Stoke City
7890,Liverpool,Arsenal
7891,Newcastle United,Aston Villa
7892,Southampton,Manchester United
7893,Arsenal,Southampton
